ep-829488 FCC(F)(OC(F)(F)F)C(F)(F)F
ep-829607 FCOC(F)(F)C(F)OC(F)(F)F
ep-829608 FC(F)OC(F)C(F)OC(F)(F)F
ep-829609 FC(COC(F)(F)F)OC(F)(F)F
ep-829610 CC(F)(OC(F)(F)F)C(F)=C(F)F
ep-829611 FC=C(F)C(F)(CF)OC(F)(F)F
ep-829612 C=C(F)C(F)(OC(F)(F)F)C(F)F
ep-829613 FCC(F)(C=C(F)F)OC(F)(F)F
ep-829614 FC=CC(F)(OC(F)(F)F)C(F)F
ep-829615 C=CC(F)(OC(F)(F)F)C(F)(F)F
ep-829616 FCC(F)(OC(F)F)C(F)=C(F)F
ep-829617 FC=C(F)C(F)(OC(F)F)C(F)F
ep-829618 C=C(F)C(F)(OC(F)F)C(F)(F)F
ep-829619 FC(F)=CC(F)(OC(F)F)C(F)F
ep-829620 FC=CC(F)(OC(F)F)C(F)(F)F
ep-829621 FCOC(F)(C(F)=C(F)F)C(F)F
ep-829622 FC=C(F)C(F)(OCF)C(F)(F)F
ep-829623 FCOC(F)(C=C(F)F)C(F)(F)F
ep-829624 COC(F)(C(F)=C(F)F)C(F)(F)F
ep-829625 FCC(OC(F)(F)F)C(F)=C(F)F
ep-829626 FC=C(F)C(OC(F)(F)F)C(F)F
ep-829627 C=C(F)C(OC(F)(F)F)C(F)(F)F
ep-829628 FC(F)=CC(OC(F)(F)F)C(F)F
ep-829629 FC=CC(OC(F)(F)F)C(F)(F)F
ep-829630 FC(F)=C(F)C(OC(F)F)C(F)F
ep-829631 FC=C(F)C(OC(F)F)C(F)(F)F
ep-829632 FC(F)=CC(OC(F)F)C(F)(F)F
ep-829633 FCOC(C(F)=C(F)F)C(F)(F)F
ep-829635 FC=C(OC(F)(F)F)C(F)=C(F)F
ep-829636 FC=C(F)C(OC(F)(F)F)=C(F)F
ep-829637 FC(F)=CC(OC(F)(F)F)=C(F)F
ep-829638 FC(F)=C(F)C(OC(F)F)=C(F)F
ep-829639 CC(F)(F)OC(F)(F)C(F)=C(F)F
ep-829640 FC=C(F)C(F)(F)OC(F)(F)CF
ep-829641 C=C(F)C(F)(F)OC(F)(F)C(F)F
ep-829642 FCC(F)(F)OC(F)(F)C=C(F)F
ep-829643 FC=CC(F)(F)OC(F)(F)C(F)F
ep-829644 C=CC(F)(F)OC(F)(F)C(F)(F)F
ep-829645 FCC(F)OC(F)(F)C(F)=C(F)F
ep-829646 FC=C(F)C(F)(F)OC(F)C(F)F
ep-829647 C=C(F)C(F)(F)OC(F)C(F)(F)F
ep-829648 FC(F)=CC(F)(F)OC(F)C(F)F
ep-829649 FC=CC(F)(F)OC(F)C(F)(F)F
ep-829650 FC(F)=C(F)C(F)(F)OCC(F)F
ep-829651 FC=C(F)C(F)(F)OCC(F)(F)F
ep-829652 FC(F)=CC(F)(F)OCC(F)(F)F
ep-829653 FCC(F)(F)OC(F)C(F)=C(F)F
ep-829654 FC=C(F)C(F)OC(F)(F)C(F)F
ep-829655 C=C(F)C(F)OC(F)(F)C(F)(F)F
ep-829656 FC(F)=CC(F)OC(F)(F)C(F)F
ep-829657 FC=CC(F)OC(F)(F)C(F)(F)F
ep-829658 FC(F)=C(F)C(F)OC(F)C(F)F
ep-829659 FC=C(F)C(F)OC(F)C(F)(F)F
ep-829660 FC(F)=CC(F)OC(F)C(F)(F)F
ep-829661 FC(F)=C(F)C(F)OCC(F)(F)F
ep-829662 FC(F)=C(F)COC(F)(F)C(F)F
ep-829663 FC=C(F)COC(F)(F)C(F)(F)F
ep-829664 FC(F)=CCOC(F)(F)C(F)(F)F
ep-829665 FC(F)=C(F)COC(F)C(F)(F)F
ep-829667 FC=C(F)OC(F)(F)C(F)=C(F)F
ep-829668 FC=C(F)C(F)(F)OC(F)=C(F)F
ep-829669 FC(F)=CC(F)(F)OC(F)=C(F)F
ep-829670 FC(F)=COC(F)(F)C(F)=C(F)F
ep-829671 FC(F)=C(F)OC(F)C(F)=C(F)F
ep-829672 CC(=C(F)F)C(F)(F)OC(F)(F)F
ep-829673 FC=C(CF)C(F)(F)OC(F)(F)F
ep-829674 C=C(C(F)F)C(F)(F)OC(F)(F)F
ep-829675 FCC(=C(F)F)C(F)(F)OC(F)F
ep-829676 FC=C(C(F)F)C(F)(F)OC(F)F
ep-829677 C=C(C(F)(F)F)C(F)(F)OC(F)F
ep-829678 FCOC(F)(F)C(=C(F)F)C(F)F
ep-829679 FC=C(C(F)(F)F)C(F)(F)OCF
ep-829680 COC(F)(F)C(=C(F)F)C(F)(F)F
ep-829681 FCC(=C(F)F)C(F)OC(F)(F)F
ep-829682 FC=C(C(F)F)C(F)OC(F)(F)F
ep-829683 C=C(C(F)OC(F)(F)F)C(F)(F)F
ep-829684 FC(F)=C(C(F)F)C(F)OC(F)F
ep-829685 FC=C(C(F)OC(F)F)C(F)(F)F
ep-829686 FCOC(F)C(=C(F)F)C(F)(F)F
ep-829687 FC(F)=C(COC(F)(F)F)C(F)F
ep-829688 FC=C(COC(F)(F)F)C(F)(F)F
ep-829689 FC(F)=C(COC(F)F)C(F)(F)F
ep-829690 CC(F)=C(F)C(F)(F)OC(F)(F)F
ep-829691 FCC=C(F)C(F)(F)OC(F)(F)F
ep-829692 FCC(F)=CC(F)(F)OC(F)(F)F
ep-829693 FC(F)C=CC(F)(F)OC(F)(F)F
ep-829694 FCC(F)=C(F)C(F)(F)OC(F)F
ep-829695 FC(=CC(F)F)C(F)(F)OC(F)F
ep-829696 FC(=CC(F)(F)OC(F)F)C(F)F
ep-829697 FC(F)OC(F)(F)C=CC(F)(F)F
ep-829698 FCOC(F)(F)C(F)=C(F)C(F)F
ep-829699 FCOC(F)(F)C(F)=CC(F)(F)F
ep-829700 FCOC(F)(F)C=C(F)C(F)(F)F
ep-829701 COC(F)(F)C(F)=C(F)C(F)(F)F
ep-829702 FCC(F)=C(F)C(F)OC(F)(F)F
ep-829703 FC(=CC(F)F)C(F)OC(F)(F)F
ep-829704 FC(=CC(F)OC(F)(F)F)C(F)F
ep-829705 FC(C=CC(F)(F)F)OC(F)(F)F
ep-829706 FC(=C(F)C(F)OC(F)F)C(F)F
ep-829707 FC(=CC(F)(F)F)C(F)OC(F)F
ep-829708 FC(=CC(F)OC(F)F)C(F)(F)F
ep-829709 FCOC(F)C(F)=C(F)C(F)(F)F
ep-829710 FC(COC(F)(F)F)=C(F)C(F)F
ep-829711 FC(=CC(F)(F)F)COC(F)(F)F
ep-829712 FC(=CCOC(F)(F)F)C(F)(F)F
ep-829713 FC(COC(F)F)=C(F)C(F)(F)F
ep-829715 FC#CC(F)(OC(F)(F)F)C(F)F
ep-829716 C#CC(F)(OC(F)(F)F)C(F)(F)F
ep-829717 FC#CC(F)(OC(F)F)C(F)(F)F
ep-829718 FC#CC(OC(F)(F)F)C(F)(F)F
ep-829719 FC#CC(F)(F)OC(F)(F)C(F)F
ep-829720 C#CC(F)(F)OC(F)(F)C(F)(F)F
ep-829721 FC#CC(F)(F)OC(F)C(F)(F)F
ep-829722 FC#CC(F)OC(F)(F)C(F)(F)F
ep-829723 FC(F)C#CC(F)(F)OC(F)(F)F
ep-829724 FC(F)OC(F)(F)C#CC(F)(F)F
ep-829725 FC(C#CC(F)(F)F)OC(F)(F)F
ep-829726 COC(F)(CF)C(F)(F)C(F)(F)F
ep-829727 CC(F)(OCF)C(F)(F)C(F)(F)F
ep-829728 COC(F)(C(F)F)C(F)(F)C(F)F
ep-829729 FCOC(F)(CF)C(F)(F)C(F)F
ep-829730 CC(F)(OC(F)F)C(F)(F)C(F)F
ep-829731 COC(F)(C(F)(F)F)C(F)(F)CF
ep-829732 FCOC(F)(C(F)F)C(F)(F)CF
ep-829733 FCC(F)(F)C(F)(CF)OC(F)F
ep-829734 CC(F)(OC(F)(F)F)C(F)(F)CF
ep-829735 CC(F)(F)C(F)(OCF)C(F)(F)F
ep-829736 CC(F)(F)C(F)(OC(F)F)C(F)F
ep-829737 CC(F)(F)C(F)(CF)OC(F)(F)F
ep-829738 COC(F)(C(F)F)C(F)C(F)(F)F
ep-829739 FCOC(F)(CF)C(F)C(F)(F)F
ep-829740 CC(F)(OC(F)F)C(F)C(F)(F)F
ep-829741 COC(F)(C(F)C(F)F)C(F)(F)F
ep-829742 FCOC(F)(C(F)F)C(F)C(F)F
ep-829743 FCC(F)(OC(F)F)C(F)C(F)F
ep-829744 CC(F)(OC(F)(F)F)C(F)C(F)F
ep-829745 FCOC(F)(C(F)CF)C(F)(F)F
ep-829746 FCC(F)C(F)(OC(F)F)C(F)F
ep-829747 FCC(F)C(F)(CF)OC(F)(F)F
ep-829748 CC(F)C(F)(OC(F)F)C(F)(F)F
ep-829749 CC(F)C(F)(OC(F)(F)F)C(F)F
ep-829750 COC(F)(CC(F)(F)F)C(F)(F)F
ep-829751 FCOC(F)(CC(F)(F)F)C(F)F
ep-829752 FCC(F)(CC(F)(F)F)OC(F)F
ep-829753 CC(F)(CC(F)(F)F)OC(F)(F)F
ep-829754 FCOC(F)(CC(F)F)C(F)(F)F
ep-829755 FC(F)CC(F)(OC(F)F)C(F)F
ep-829756 FCC(F)(CC(F)F)OC(F)(F)F
ep-829757 FCCC(F)(OC(F)F)C(F)(F)F
ep-829758 FCCC(F)(OC(F)(F)F)C(F)F
ep-829759 CCC(F)(OC(F)(F)F)C(F)(F)F
ep-829760 COC(C(F)F)C(F)(F)C(F)(F)F
ep-829761 FCOC(CF)C(F)(F)C(F)(F)F
ep-829762 CC(OC(F)F)C(F)(F)C(F)(F)F
ep-829763 COC(C(F)(F)F)C(F)(F)C(F)F
ep-829764 FCOC(C(F)F)C(F)(F)C(F)F
ep-829765 FCC(OC(F)F)C(F)(F)C(F)F
ep-829766 CC(OC(F)(F)F)C(F)(F)C(F)F
ep-829767 FCOC(C(F)(F)F)C(F)(F)CF
ep-829768 FCC(F)(F)C(OC(F)F)C(F)F
ep-829769 FCC(OC(F)(F)F)C(F)(F)CF
ep-829770 CC(F)(F)C(OC(F)F)C(F)(F)F
ep-829771 CC(F)(F)C(OC(F)(F)F)C(F)F
ep-829772 COC(C(F)C(F)(F)F)C(F)(F)F
ep-829773 FCOC(C(F)F)C(F)C(F)(F)F
ep-829774 FCC(OC(F)F)C(F)C(F)(F)F
ep-829775 CC(OC(F)(F)F)C(F)C(F)(F)F
ep-829776 FCOC(C(F)C(F)F)C(F)(F)F
ep-829777 FC(F)OC(C(F)F)C(F)C(F)F
ep-829778 FCC(OC(F)(F)F)C(F)C(F)F
ep-829779 FCC(F)C(OC(F)F)C(F)(F)F
ep-829780 FCC(F)C(OC(F)(F)F)C(F)F
ep-829781 CC(F)C(OC(F)(F)F)C(F)(F)F
ep-829782 FCOC(CC(F)(F)F)C(F)(F)F
ep-829783 FC(F)OC(CC(F)(F)F)C(F)F
ep-829784 FCC(CC(F)(F)F)OC(F)(F)F
ep-829785 FC(F)CC(OC(F)F)C(F)(F)F
ep-829786 FC(F)CC(OC(F)(F)F)C(F)F
ep-829787 FCCC(OC(F)(F)F)C(F)(F)F
ep-829944 COC(=C(F)C(F)(F)F)C(F)(F)F
ep-829945 FCOC(=C(F)C(F)F)C(F)(F)F
ep-829946 FCC(F)=C(OC(F)F)C(F)(F)F
ep-829947 CC(F)=C(OC(F)(F)F)C(F)(F)F
ep-829948 FCOC(=C(F)C(F)(F)F)C(F)F
ep-829949 FC(=C(OC(F)F)C(F)F)C(F)F
ep-829950 FCC(F)=C(OC(F)(F)F)C(F)F
ep-829951 FCC(OC(F)F)=C(F)C(F)(F)F
ep-829952 FCC(OC(F)(F)F)=C(F)C(F)F
ep-829953 CC(OC(F)(F)F)=C(F)C(F)(F)F
ep-829954 FCOC(=CC(F)(F)F)C(F)(F)F
ep-829955 FC(F)C=C(OC(F)F)C(F)(F)F
ep-829956 FCC=C(OC(F)(F)F)C(F)(F)F
ep-829957 FC(F)OC(=CC(F)(F)F)C(F)F
ep-829958 FC(F)C=C(OC(F)(F)F)C(F)F
ep-829959 FCC(=CC(F)(F)F)OC(F)(F)F
ep-829986 CC(CF)(OC(F)(F)F)C(F)(F)F
ep-829987 CC(OC(F)(F)F)(C(F)F)C(F)F
ep-829988 FCC(CF)(OC(F)(F)F)C(F)F
ep-829989 CC(OC(F)F)(C(F)F)C(F)(F)F
ep-829990 FCC(CF)(OC(F)F)C(F)(F)F
ep-829991 FCC(OC(F)F)(C(F)F)C(F)F
ep-829992 CC(OCF)(C(F)(F)F)C(F)(F)F
ep-829993 FCOC(CF)(C(F)F)C(F)(F)F
ep-829994 FCOC(C(F)F)(C(F)F)C(F)F
ep-829995 COC(CF)(C(F)(F)F)C(F)(F)F
ep-829996 COC(C(F)F)(C(F)F)C(F)(F)F
ep-830001 CC(F)(F)OC(F)(CF)C(F)(F)F
ep-830002 CC(F)(OC(F)(F)CF)C(F)(F)F
ep-830003 CC(F)(F)OC(F)(C(F)F)C(F)F
ep-830004 FCC(F)(F)OC(F)(CF)C(F)F
ep-830005 CC(F)(OC(F)(F)C(F)F)C(F)F
ep-830006 FCC(F)(CF)OC(F)(F)C(F)F
ep-830007 CC(F)(CF)OC(F)(F)C(F)(F)F
ep-830008 CC(F)OC(F)(C(F)F)C(F)(F)F
ep-830009 FCC(F)OC(F)(CF)C(F)(F)F
ep-830010 CC(F)(OC(F)C(F)F)C(F)(F)F
ep-830011 FCC(F)OC(F)(C(F)F)C(F)F
ep-830012 FCC(F)(OC(F)C(F)F)C(F)F
ep-830013 CC(F)(OC(F)C(F)(F)F)C(F)F
ep-830014 FCC(F)(CF)OC(F)C(F)(F)F
ep-830015 CCOC(F)(C(F)(F)F)C(F)(F)F
ep-830016 FCCOC(F)(C(F)F)C(F)(F)F
ep-830017 FCC(F)(OCC(F)F)C(F)(F)F
ep-830018 CC(F)(OCC(F)(F)F)C(F)(F)F
ep-830019 FC(F)COC(F)(C(F)F)C(F)F
ep-830020 FCC(F)(OCC(F)(F)F)C(F)F
ep-830021 CC(F)(F)OC(C(F)F)C(F)(F)F
ep-830022 FCC(OC(F)(F)CF)C(F)(F)F
ep-830023 CC(OC(F)(F)C(F)F)C(F)(F)F
ep-830024 FCC(F)(F)OC(C(F)F)C(F)F
ep-830025 FCC(OC(F)(F)C(F)F)C(F)F
ep-830026 CC(OC(F)(F)C(F)(F)F)C(F)F
ep-830027 FCC(CF)OC(F)(F)C(F)(F)F
ep-830028 CC(F)OC(C(F)(F)F)C(F)(F)F
ep-830029 FCC(F)OC(C(F)F)C(F)(F)F
ep-830030 FCC(OC(F)C(F)F)C(F)(F)F
ep-830031 CC(OC(F)C(F)(F)F)C(F)(F)F
ep-830032 FC(F)C(F)OC(C(F)F)C(F)F
ep-830033 FCC(OC(F)C(F)(F)F)C(F)F
ep-830034 FCCOC(C(F)(F)F)C(F)(F)F
ep-830035 FC(F)COC(C(F)F)C(F)(F)F
ep-830036 FCC(OCC(F)(F)F)C(F)(F)F
ep-830037 FC(F)C(OCC(F)(F)F)C(F)F
ep-830044 C=C(F)OC(F)(C(F)F)C(F)(F)F
ep-830045 FC=C(F)OC(F)(CF)C(F)(F)F
ep-830046 CC(F)(OC(F)=C(F)F)C(F)(F)F
ep-830047 FC=C(F)OC(F)(C(F)F)C(F)F
ep-830048 FCC(F)(OC(F)=C(F)F)C(F)F
ep-830049 C=COC(F)(C(F)(F)F)C(F)(F)F
ep-830050 FC=COC(F)(C(F)F)C(F)(F)F
ep-830051 FCC(F)(OC=C(F)F)C(F)(F)F
ep-830052 FC(F)=COC(F)(C(F)F)C(F)F
ep-830053 C=C(F)OC(C(F)(F)F)C(F)(F)F
ep-830054 FC=C(F)OC(C(F)F)C(F)(F)F
ep-830055 FCC(OC(F)=C(F)F)C(F)(F)F
ep-830056 FC(F)=C(F)OC(C(F)F)C(F)F
ep-830057 FC=COC(C(F)(F)F)C(F)(F)F
ep-830058 FC(F)=COC(C(F)F)C(F)(F)F
ep-830059 C#COC(F)(C(F)(F)F)C(F)(F)F
ep-830060 FC#COC(F)(C(F)F)C(F)(F)F
ep-830061 FC#COC(C(F)(F)F)C(F)(F)F
ep-830081 FC#COC(F)(F)C(F)(F)C(F)F
ep-830082 C#COC(F)(F)C(F)(F)C(F)(F)F
ep-830083 FC#COC(F)(F)C(F)C(F)(F)F
ep-830084 FC#COC(F)C(F)(F)C(F)(F)F
ep-830085 FC(F)C#COC(F)(F)C(F)(F)F
ep-830086 FC(F)C(F)(F)OC#CC(F)(F)F
ep-830087 FC(OC#CC(F)(F)F)C(F)(F)F
ep-830088 C=C(OC(F)(F)F)C(F)(F)C(F)F
ep-830089 FC=C(OC(F)(F)F)C(F)(F)CF
ep-830090 CC(F)(F)C(OC(F)(F)F)=C(F)F
ep-830091 C=C(OC(F)(F)F)C(F)C(F)(F)F
ep-830092 FC=C(OC(F)(F)F)C(F)C(F)F
ep-830093 FCC(F)C(OC(F)(F)F)=C(F)F
ep-830094 FC=C(CC(F)(F)F)OC(F)(F)F
ep-830095 FC(F)=C(CC(F)F)OC(F)(F)F
ep-830096 C=C(OC(F)F)C(F)(F)C(F)(F)F
ep-830097 FC=C(OC(F)F)C(F)(F)C(F)F
ep-830098 FCC(F)(F)C(OC(F)F)=C(F)F
ep-830099 FC=C(OC(F)F)C(F)C(F)(F)F
ep-830100 FC(F)=C(OC(F)F)C(F)C(F)F
ep-830101 FC(F)=C(CC(F)(F)F)OC(F)F
ep-830102 FC=C(OCF)C(F)(F)C(F)(F)F
ep-830103 FCOC(=C(F)F)C(F)(F)C(F)F
ep-830104 FCOC(=C(F)F)C(F)C(F)(F)F
ep-830105 COC(=C(F)F)C(F)(F)C(F)(F)F
ep-830106 CC(F)(F)OC(F)(F)C(F)(F)CF
ep-830107 CC(F)(F)C(F)(F)OC(F)(F)CF
ep-830108 CC(F)(F)OC(F)(F)C(F)C(F)F
ep-830109 FCC(F)C(F)(F)OC(F)(F)CF
ep-830110 CC(F)C(F)(F)OC(F)(F)C(F)F
ep-830111 CC(F)(F)OC(F)(F)CC(F)(F)F
ep-830112 FCC(F)(F)OC(F)(F)CC(F)F
ep-830113 FCCC(F)(F)OC(F)(F)C(F)F
ep-830114 CCC(F)(F)OC(F)(F)C(F)(F)F
ep-830115 CC(F)OC(F)(F)C(F)(F)C(F)F
ep-830116 FCC(F)OC(F)(F)C(F)(F)CF
ep-830117 CC(F)(F)C(F)(F)OC(F)C(F)F
ep-830118 CC(F)OC(F)(F)C(F)C(F)(F)F
ep-830119 FCC(F)OC(F)(F)C(F)C(F)F
ep-830120 FCC(F)C(F)(F)OC(F)C(F)F
ep-830121 CC(F)C(F)(F)OC(F)C(F)(F)F
ep-830122 FCC(F)OC(F)(F)CC(F)(F)F
ep-830123 FC(F)CC(F)(F)OC(F)C(F)F
ep-830124 FCCC(F)(F)OC(F)C(F)(F)F
ep-830125 CCOC(F)(F)C(F)(F)C(F)(F)F
ep-830126 FCCOC(F)(F)C(F)(F)C(F)F
ep-830127 FCC(F)(F)C(F)(F)OCC(F)F
ep-830128 CC(F)(F)C(F)(F)OCC(F)(F)F
ep-830129 FCCOC(F)(F)C(F)C(F)(F)F
ep-830130 FC(F)COC(F)(F)C(F)C(F)F
ep-830131 FCC(F)C(F)(F)OCC(F)(F)F
ep-830132 FC(F)COC(F)(F)CC(F)(F)F
ep-830133 FC(F)CC(F)(F)OCC(F)(F)F
ep-830134 CC(F)(F)OC(F)C(F)(F)C(F)F
ep-830135 FCC(F)(F)OC(F)C(F)(F)CF
ep-830136 CC(F)(F)C(F)OC(F)(F)C(F)F
ep-830137 CC(F)(F)OC(F)C(F)C(F)(F)F
ep-830138 FCC(F)(F)OC(F)C(F)C(F)F
ep-830139 FCC(F)C(F)OC(F)(F)C(F)F
ep-830140 CC(F)C(F)OC(F)(F)C(F)(F)F
ep-830141 FCC(F)(F)OC(F)CC(F)(F)F
ep-830142 FC(F)CC(F)OC(F)(F)C(F)F
ep-830143 FCCC(F)OC(F)(F)C(F)(F)F
ep-830144 CC(F)OC(F)C(F)(F)C(F)(F)F
ep-830145 FCC(F)OC(F)C(F)(F)C(F)F
ep-830146 FCC(F)(F)C(F)OC(F)C(F)F
ep-830147 CC(F)(F)C(F)OC(F)C(F)(F)F
ep-830148 FCC(F)OC(F)C(F)C(F)(F)F
ep-830149 FC(F)C(F)OC(F)C(F)C(F)F
ep-830150 FCC(F)C(F)OC(F)C(F)(F)F
ep-830151 FC(CC(F)(F)F)OC(F)C(F)F
ep-830152 FC(F)CC(F)OC(F)C(F)(F)F
ep-830153 FCCOC(F)C(F)(F)C(F)(F)F
ep-830154 FC(F)COC(F)C(F)(F)C(F)F
ep-830155 FCC(F)(F)C(F)OCC(F)(F)F
ep-830156 FC(F)COC(F)C(F)C(F)(F)F
ep-830157 FC(F)C(F)C(F)OCC(F)(F)F
ep-830158 FC(CC(F)(F)F)OCC(F)(F)F
ep-830159 CC(F)(F)OCC(F)(F)C(F)(F)F
ep-830160 FCC(F)(F)OCC(F)(F)C(F)F
ep-830161 FCC(F)(F)COC(F)(F)C(F)F
ep-830162 CC(F)(F)COC(F)(F)C(F)(F)F
ep-830163 FCC(F)(F)OCC(F)C(F)(F)F
ep-830164 FC(F)C(F)COC(F)(F)C(F)F
ep-830165 FCC(F)COC(F)(F)C(F)(F)F
ep-830166 FC(F)C(F)(F)OCCC(F)(F)F
ep-830167 FC(F)CCOC(F)(F)C(F)(F)F
ep-830168 FCC(F)OCC(F)(F)C(F)(F)F
ep-830169 FC(F)C(F)OCC(F)(F)C(F)F
ep-830170 FCC(F)(F)COC(F)C(F)(F)F
ep-830171 FC(F)C(F)OCC(F)C(F)(F)F
ep-830172 FC(F)C(F)COC(F)C(F)(F)F
ep-830173 FC(OCCC(F)(F)F)C(F)(F)F
ep-830174 FC(F)COCC(F)(F)C(F)(F)F
ep-830175 FC(F)C(F)(F)COCC(F)(F)F
ep-830176 FC(COCC(F)(F)F)C(F)(F)F
ep-830187 C=C(F)OC(F)(F)C(F)(F)C(F)F
ep-830188 FC=C(F)OC(F)(F)C(F)(F)CF
ep-830189 CC(F)(F)C(F)(F)OC(F)=C(F)F
ep-830190 C=C(F)OC(F)(F)C(F)C(F)(F)F
ep-830191 FC=C(F)OC(F)(F)C(F)C(F)F
ep-830192 FCC(F)C(F)(F)OC(F)=C(F)F
ep-830193 FC=C(F)OC(F)(F)CC(F)(F)F
ep-830194 FC(F)=C(F)OC(F)(F)CC(F)F
ep-830195 C=COC(F)(F)C(F)(F)C(F)(F)F
ep-830196 FC=COC(F)(F)C(F)(F)C(F)F
ep-830197 FCC(F)(F)C(F)(F)OC=C(F)F
ep-830198 FC=COC(F)(F)C(F)C(F)(F)F
ep-830199 FC(F)=COC(F)(F)C(F)C(F)F
ep-830200 FC(F)=COC(F)(F)CC(F)(F)F
ep-830201 C=C(F)OC(F)C(F)(F)C(F)(F)F
ep-830202 FC=C(F)OC(F)C(F)(F)C(F)F
ep-830203 FCC(F)(F)C(F)OC(F)=C(F)F
ep-830204 FC=C(F)OC(F)C(F)C(F)(F)F
ep-830205 FC(F)=C(F)OC(F)C(F)C(F)F
ep-830206 FC(F)=C(F)OC(F)CC(F)(F)F
