ep-904920 FC(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-905049 FC(F)COC(F)(C(F)(F)F)C(F)(F)F
ep-905050 FC(F)C(F)(OCC(F)(F)F)C(F)(F)F
ep-905051 FCC(F)(F)OC(C(F)(F)F)C(F)(F)F
ep-905052 FC(F)C(OC(F)(F)C(F)F)C(F)(F)F
ep-905053 FCC(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-905054 FC(F)C(OC(F)(F)C(F)(F)F)C(F)F
ep-905055 FC(F)C(F)OC(C(F)(F)F)C(F)(F)F
ep-905056 FC(F)C(OC(F)C(F)(F)F)C(F)(F)F
ep-905057 FC(F)(F)COC(C(F)(F)F)C(F)(F)F
ep-905059 FC=C(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-905060 FC(F)=C(F)OC(F)(C(F)F)C(F)(F)F
ep-905061 FC(F)=COC(F)(C(F)(F)F)C(F)(F)F
ep-905062 FC(F)=C(F)OC(C(F)(F)F)C(F)(F)F
ep-905065 FC=C(OC(F)(F)F)C(F)(F)C(F)(F)F
ep-905066 FC(F)=C(OC(F)(F)F)C(F)(F)C(F)F
ep-905067 FC(F)=C(OC(F)(F)F)C(F)C(F)(F)F
ep-905068 FC(F)=C(OC(F)F)C(F)(F)C(F)(F)F
ep-905069 CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
ep-905070 FCC(F)(F)OC(F)(F)C(F)(F)C(F)F
ep-905071 FCC(F)(F)C(F)(F)OC(F)(F)C(F)F
ep-905072 CC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F
ep-905073 FCC(F)(F)OC(F)(F)C(F)C(F)(F)F
ep-905074 FC(F)C(F)C(F)(F)OC(F)(F)C(F)F
ep-905075 FCC(F)C(F)(F)OC(F)(F)C(F)(F)F
ep-905076 FC(F)C(F)(F)OC(F)(F)CC(F)(F)F
ep-905077 FC(F)CC(F)(F)OC(F)(F)C(F)(F)F
ep-905078 FCC(F)OC(F)(F)C(F)(F)C(F)(F)F
ep-905079 FC(F)C(F)OC(F)(F)C(F)(F)C(F)F
ep-905080 FCC(F)(F)C(F)(F)OC(F)C(F)(F)F
ep-905081 FC(F)C(F)OC(F)(F)C(F)C(F)(F)F
ep-905082 FC(F)C(F)C(F)(F)OC(F)C(F)(F)F
ep-905083 FC(OC(F)(F)CC(F)(F)F)C(F)(F)F
ep-905084 FC(F)COC(F)(F)C(F)(F)C(F)(F)F
ep-905085 FC(F)C(F)(F)C(F)(F)OCC(F)(F)F
ep-905086 FC(C(F)(F)F)C(F)(F)OCC(F)(F)F
ep-905087 FCC(F)(F)OC(F)C(F)(F)C(F)(F)F
ep-905088 FC(F)C(F)(F)OC(F)C(F)(F)C(F)F
ep-905089 FCC(F)(F)C(F)OC(F)(F)C(F)(F)F
ep-905090 FC(OC(F)(F)C(F)F)C(F)C(F)(F)F
ep-905091 FC(F)C(F)C(F)OC(F)(F)C(F)(F)F
ep-905092 FC(CC(F)(F)F)OC(F)(F)C(F)(F)F
ep-905093 FC(F)C(F)OC(F)C(F)(F)C(F)(F)F
ep-905094 FC(OC(F)C(F)(F)C(F)F)C(F)(F)F
ep-905095 FC(OC(F)C(F)(F)F)C(F)C(F)(F)F
ep-905096 FC(OCC(F)(F)F)C(F)(F)C(F)(F)F
ep-905097 FC(F)C(F)(F)OCC(F)(F)C(F)(F)F
ep-905098 FC(F)C(F)(F)COC(F)(F)C(F)(F)F
ep-905099 FC(COC(F)(F)C(F)(F)F)C(F)(F)F
ep-905100 FC(OCC(F)(F)C(F)(F)F)C(F)(F)F
ep-905102 FC=C(F)OC(F)(F)C(F)(F)C(F)(F)F
ep-905103 FC(F)=C(F)OC(F)(F)C(F)(F)C(F)F
ep-905104 FC(F)=C(F)OC(F)(F)C(F)C(F)(F)F
ep-905105 FC(F)=COC(F)(F)C(F)(F)C(F)(F)F
ep-905106 FC(F)=C(F)OC(F)C(F)(F)C(F)(F)F
ep-905107 CC(F)(C(F)(F)F)C(F)(F)OC(F)(F)F
ep-905108 FCC(F)(C(F)F)C(F)(F)OC(F)(F)F
ep-905109 FCC(C(F)(F)F)C(F)(F)OC(F)(F)F
ep-905110 FC(F)C(C(F)F)C(F)(F)OC(F)(F)F
ep-905111 FCC(F)(C(F)(F)F)C(F)(F)OC(F)F
ep-905112 FC(F)OC(F)(F)C(F)(C(F)F)C(F)F
ep-905113 FC(F)OC(F)(F)C(C(F)F)C(F)(F)F
ep-905114 FCOC(F)(F)C(F)(C(F)F)C(F)(F)F
ep-905115 FCOC(F)(F)C(C(F)(F)F)C(F)(F)F
ep-905116 COC(F)(F)C(F)(C(F)(F)F)C(F)(F)F
ep-905117 FCC(F)(C(F)OC(F)(F)F)C(F)(F)F
ep-905118 FC(F)C(F)(C(F)F)C(F)OC(F)(F)F
ep-905119 FC(F)C(C(F)OC(F)(F)F)C(F)(F)F
ep-905120 FC(F)OC(F)C(F)(C(F)F)C(F)(F)F
ep-905121 FC(F)OC(F)C(C(F)(F)F)C(F)(F)F
ep-905122 FCOC(F)C(F)(C(F)(F)F)C(F)(F)F
ep-905123 FC(F)C(F)(COC(F)(F)F)C(F)(F)F
ep-905124 FC(F)(F)OCC(C(F)(F)F)C(F)(F)F
ep-905125 FC(F)OCC(F)(C(F)(F)F)C(F)(F)F
ep-905126 CC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F
ep-905127 FCC(F)C(F)(F)C(F)(F)OC(F)(F)F
ep-905128 FC(F)CC(F)(F)C(F)(F)OC(F)(F)F
ep-905129 FCC(F)(F)C(F)C(F)(F)OC(F)(F)F
ep-905130 FC(F)C(F)C(F)C(F)(F)OC(F)(F)F
ep-905131 FC(CC(F)(F)F)C(F)(F)OC(F)(F)F
ep-905132 FC(F)C(F)(F)CC(F)(F)OC(F)(F)F
ep-905133 FC(CC(F)(F)OC(F)(F)F)C(F)(F)F
ep-905134 FCC(F)(F)C(F)(F)C(F)(F)OC(F)F
ep-905135 FC(F)OC(F)(F)C(F)(F)C(F)C(F)F
ep-905136 FC(F)OC(F)(F)C(F)(F)CC(F)(F)F
ep-905137 FC(F)OC(F)(F)C(F)C(F)(F)C(F)F
ep-905138 FC(F)OC(F)(F)C(F)C(F)C(F)(F)F
ep-905139 FC(F)OC(F)(F)CC(F)(F)C(F)(F)F
ep-905140 FCOC(F)(F)C(F)(F)C(F)(F)C(F)F
ep-905141 FCOC(F)(F)C(F)(F)C(F)C(F)(F)F
ep-905142 FCOC(F)(F)C(F)C(F)(F)C(F)(F)F
ep-905143 COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ep-905144 FCC(F)(F)C(F)(F)C(F)OC(F)(F)F
ep-905145 FC(F)C(F)C(F)(F)C(F)OC(F)(F)F
ep-905146 FC(OC(F)(F)F)C(F)(F)CC(F)(F)F
ep-905147 FC(OC(F)(F)F)C(F)C(F)(F)C(F)F
ep-905148 FC(OC(F)(F)F)C(F)C(F)C(F)(F)F
ep-905149 FC(CC(F)(F)C(F)(F)F)OC(F)(F)F
ep-905150 FC(F)OC(F)C(F)(F)C(F)(F)C(F)F
ep-905151 FC(F)OC(F)C(F)(F)C(F)C(F)(F)F
ep-905152 FC(F)OC(F)C(F)C(F)(F)C(F)(F)F
ep-905153 FCOC(F)C(F)(F)C(F)(F)C(F)(F)F
ep-905154 FC(F)C(F)(F)C(F)(F)COC(F)(F)F
ep-905155 FC(C(F)(F)F)C(F)(F)COC(F)(F)F
ep-905156 FC(COC(F)(F)F)C(F)(F)C(F)(F)F
ep-905157 FC(F)OCC(F)(F)C(F)(F)C(F)(F)F
ep-905159 FC=C(F)C(F)(F)C(F)(F)OC(F)(F)F
ep-905160 FC(F)=CC(F)(F)C(F)(F)OC(F)(F)F
ep-905161 FC(F)=C(F)C(F)C(F)(F)OC(F)(F)F
ep-905162 FC(F)=C(F)C(F)(F)C(F)(F)OC(F)F
ep-905163 FC(F)=C(F)C(F)(F)C(F)OC(F)(F)F
ep-905215 FC(OC(F)F)=C(C(F)(F)F)C(F)(F)F
ep-905216 FC(OC(F)(F)F)=C(C(F)F)C(F)(F)F
ep-905217 FC(F)(F)OC=C(C(F)(F)F)C(F)(F)F
ep-905219 FC(OC(F)F)=C(F)C(F)(F)C(F)(F)F
ep-905220 FC(OC(F)(F)F)=C(F)C(F)(F)C(F)F
ep-905221 FC(OC(F)(F)F)=C(F)C(F)C(F)(F)F
ep-905222 FC(=CC(F)(F)C(F)(F)F)OC(F)(F)F
ep-905223 FC(=COC(F)(F)F)C(F)(F)C(F)(F)F
ep-905230 FC(F)=C(OC(F)(F)C(F)(F)F)C(F)F
ep-905231 FC=C(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-905232 FC(F)=C(OC(F)(F)C(F)F)C(F)(F)F
ep-905233 FC(F)=C(OC(F)C(F)(F)F)C(F)(F)F
ep-905234 FC(OC(F)(F)C(F)(F)F)=C(F)C(F)F
ep-905235 FC(=CC(F)(F)F)OC(F)(F)C(F)(F)F
ep-905236 FC(OC(F)(F)C(F)F)=C(F)C(F)(F)F
ep-905237 FC(=COC(F)(F)C(F)(F)F)C(F)(F)F
ep-905238 FC(OC(F)C(F)(F)F)=C(F)C(F)(F)F
ep-905239 FC(F)C1(F)OC1(C(F)(F)F)C(F)(F)F
ep-905240 FC(F)C1(C(F)(F)F)OC1(F)C(F)(F)F
ep-905241 FC(F)(F)C1OC1(C(F)(F)F)C(F)(F)F
ep-905242 FC1C(F)(F)OC1(C(F)(F)F)C(F)(F)F
ep-905243 FC(F)C1(C(F)(F)F)OC(F)(F)C1(F)F
ep-905244 FC1OC(C(F)(F)F)(C(F)(F)F)C1(F)F
ep-905245 FC(F)C1(F)OC(F)(C(F)(F)F)C1(F)F
ep-905246 FC1C(F)(C(F)(F)F)OC1(F)C(F)(F)F
ep-905247 FC(F)(F)C1OC(F)(C(F)(F)F)C1(F)F
ep-905248 FC(F)C(F)(F)OC1(F)C(F)(F)C1(F)F
ep-905249 FC1C(F)(F)C1(F)OC(F)(F)C(F)(F)F
ep-905250 FC(OC1(F)C(F)(F)C1(F)F)C(F)(F)F
ep-905251 FC(F)(F)C(F)(F)OC1C(F)(F)C1(F)F
ep-905252 FC1C(F)(F)OC(F)(C(F)(F)F)C1(F)F
ep-905253 FC(F)C1(F)OC(F)(F)C(F)(F)C1(F)F
ep-905254 FC1C(F)(F)C(F)(F)OC1(F)C(F)(F)F
ep-905255 FC1OC(F)(C(F)(F)F)C(F)(F)C1(F)F
ep-905256 FC(F)(F)C1OC(F)(F)C(F)(F)C1(F)F
ep-905257 FC(F)C(F)(C(F)(F)F)C1(F)OC1(F)F
ep-905258 FC(F)(F)C(C(F)(F)F)C1(F)OC1(F)F
ep-905259 FC1(F)OC1C(F)(C(F)(F)F)C(F)(F)F
ep-905260 FC1OC1(F)C(F)(C(F)(F)F)C(F)(F)F
ep-905261 FC(F)C1(F)C(F)(F)OC(F)(F)C1(F)F
ep-905262 FC1OC(F)(F)C(F)(F)C1(F)C(F)(F)F
ep-905263 FC(F)(F)C1C(F)(F)OC(F)(F)C1(F)F
ep-905264 FC1C(F)(F)OC(F)(F)C1(F)C(F)(F)F
ep-905265 FC1OC(F)(F)C(F)(C(F)(F)F)C1(F)F
ep-905270 FC(F)C(F)(F)C(F)(F)C1(F)OC1(F)F
ep-905271 FC(C(F)(F)F)C(F)(F)C1(F)OC1(F)F
ep-905272 FC(C(F)(F)C(F)(F)F)C1(F)OC1(F)F
ep-905273 FC1(F)OC1C(F)(F)C(F)(F)C(F)(F)F
ep-905274 FC1OC1(F)C(F)(F)C(F)(F)C(F)(F)F
ep-905275 FC(F)C(F)(F)C1(F)OC(F)(F)C1(F)F
ep-905276 FC(C(F)(F)F)C1(F)OC(F)(F)C1(F)F
ep-905277 FC(F)(F)C(F)(F)C1OC(F)(F)C1(F)F
ep-905278 FC1C(F)(F)OC1(F)C(F)(F)C(F)(F)F
ep-905279 FC1OC(F)(C(F)(F)C(F)(F)F)C1(F)F
ep-905280 FC1OC(F)(F)C(F)(F)C(F)(F)C1(F)F
ep-905281 FC1C(F)(F)OC(F)(F)C(F)(F)C1(F)F
ep-905282 FC1C(F)(F)C(F)(F)OC(F)(F)C1(F)F
ep-905287 FC(F)OC1(C(F)(F)F)C(F)(F)C1(F)F
ep-905288 FC(F)C1(OC(F)(F)F)C(F)(F)C1(F)F
ep-905289 FC1C(F)(F)C1(OC(F)(F)F)C(F)(F)F
ep-905290 FC1OC1(C(F)(F)F)C(F)(F)C(F)(F)F
ep-905291 FC(F)C1(C(F)(F)C(F)(F)F)OC1(F)F
ep-905292 FC(F)C(F)(F)C1(C(F)(F)F)OC1(F)F
ep-905293 FC(C(F)(F)F)C1(C(F)(F)F)OC1(F)F
ep-905294 FC(F)OC1(F)C(F)(F)C1(F)C(F)(F)F
ep-905295 FC1C(F)(OC(F)(F)F)C1(F)C(F)(F)F
ep-905296 FC(F)C1(F)C(F)(F)C1(F)OC(F)(F)F
ep-905297 FC(F)(F)OC1(F)C(C(F)(F)F)C1(F)F
ep-905298 FC(F)(F)OC1C(F)(F)C1(F)C(F)(F)F
ep-905299 FC1OC(F)(C(F)(F)F)C1(F)C(F)(F)F
ep-905300 FC(F)C1(F)OC(F)(F)C1(F)C(F)(F)F
ep-905301 FC(F)C1(F)C(F)(F)OC1(F)C(F)(F)F
ep-905302 FC(F)(F)C1C(F)(F)OC1(F)C(F)(F)F
ep-905303 FC(F)(F)C1OC(F)(F)C1(F)C(F)(F)F
ep-905304 FC(F)OC1(F)C(F)(F)C(F)(F)C1(F)F
ep-905305 FC1C(F)(F)C(F)(F)C1(F)OC(F)(F)F
ep-905306 FC1C(F)(F)C(F)(OC(F)(F)F)C1(F)F
ep-905307 FC(F)(F)OC1C(F)(F)C(F)(F)C1(F)F
ep-905312 FC(F)C(F)(F)C1(F)OC1(F)C(F)(F)F
ep-905313 FC(F)C1(F)OC1(F)C(F)(F)C(F)(F)F
ep-905314 FC(C(F)(F)F)C1(F)OC1(F)C(F)(F)F
ep-905315 FC(F)(F)C(F)(F)C1OC1(F)C(F)(F)F
ep-905316 FC(F)(F)C1OC1(F)C(F)(F)C(F)(F)F
ep-905317 FC(F)C1(C(F)(F)F)C(F)(F)OC1(F)F
ep-905318 FC1OC(F)(F)C1(C(F)(F)F)C(F)(F)F
ep-905319 FC1C(F)(F)C1(F)C(F)(F)OC(F)(F)F
ep-905320 FC(F)(F)OC(F)(F)C1C(F)(F)C1(F)F
ep-905321 FC(F)OC(F)(F)C1(F)C(F)(F)C1(F)F
ep-905322 FC(OC(F)(F)F)C1(F)C(F)(F)C1(F)F
ep-905323 FC(F)C(F)(F)C1(F)C(F)(F)OC1(F)F
ep-905324 FC(C(F)(F)F)C1(F)C(F)(F)OC1(F)F
ep-905325 FC1(F)OC(F)(F)C1C(F)(F)C(F)(F)F
ep-905326 FC1OC(F)(F)C1(F)C(F)(F)C(F)(F)F
ep-905329 CC(F)(F)OC(C)(C(F)(F)F)C(F)(F)F
ep-905330 CC(OC(F)(F)CF)(C(F)F)C(F)(F)F
ep-905331 CC(F)(F)OC(CF)(C(F)F)C(F)(F)F
ep-905332 CC(CF)(OC(F)(F)C(F)F)C(F)(F)F
ep-905333 FCC(F)(F)OC(CF)(CF)C(F)(F)F
ep-905334 CC(C)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-905335 CC(OC(F)(F)C(F)F)(C(F)F)C(F)F
ep-905336 FCC(F)(F)OC(CF)(C(F)F)C(F)F
ep-905337 CC(F)(F)OC(C(F)F)(C(F)F)C(F)F
ep-905338 CC(CF)(OC(F)(F)C(F)(F)F)C(F)F
ep-905339 FCC(CF)(OC(F)(F)C(F)F)C(F)F
ep-905340 FCC(CF)(CF)OC(F)(F)C(F)(F)F
ep-905341 CC(OC(F)CF)(C(F)(F)F)C(F)(F)F
ep-905342 CC(F)OC(CF)(C(F)(F)F)C(F)(F)F
ep-905343 CC(OC(F)C(F)F)(C(F)F)C(F)(F)F
ep-905344 FCC(F)OC(CF)(C(F)F)C(F)(F)F
ep-905345 CC(F)OC(C(F)F)(C(F)F)C(F)(F)F
ep-905346 CC(CF)(OC(F)C(F)(F)F)C(F)(F)F
ep-905347 FCC(CF)(OC(F)C(F)F)C(F)(F)F
ep-905348 CC(OC(F)C(F)(F)F)(C(F)F)C(F)F
ep-905349 FCC(OC(F)C(F)F)(C(F)F)C(F)F
ep-905350 FCC(F)OC(C(F)F)(C(F)F)C(F)F
ep-905351 FCC(CF)(OC(F)C(F)(F)F)C(F)F
ep-905352 CC(OCC(F)F)(C(F)(F)F)C(F)(F)F
ep-905353 FCCOC(CF)(C(F)(F)F)C(F)(F)F
ep-905354 CCOC(C(F)F)(C(F)(F)F)C(F)(F)F
ep-905355 CC(OCC(F)(F)F)(C(F)F)C(F)(F)F
ep-905356 FCC(OCC(F)F)(C(F)F)C(F)(F)F
ep-905357 FCCOC(C(F)F)(C(F)F)C(F)(F)F
ep-905358 FCC(CF)(OCC(F)(F)F)C(F)(F)F
ep-905359 FCC(OCC(F)(F)F)(C(F)F)C(F)F
ep-905360 FC(F)COC(C(F)F)(C(F)F)C(F)F
ep-905373 CC(C)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-905374 CC(F)(CF)OC(F)(C(F)F)C(F)(F)F
ep-905375 CC(F)(OC(F)(CF)C(F)(F)F)C(F)F
ep-905376 FCC(F)(CF)OC(F)(CF)C(F)(F)F
ep-905377 CC(F)(OC(C)(F)C(F)(F)F)C(F)(F)F
ep-905378 CC(F)(OC(F)(CF)C(F)F)C(F)(F)F
ep-905379 CC(F)(OC(F)(C(F)F)C(F)F)C(F)F
ep-905380 FCC(F)(CF)OC(F)(C(F)F)C(F)F
ep-905381 FCC(F)(OC(F)(CF)C(F)F)C(F)F
ep-905382 CC(CF)OC(F)(C(F)(F)F)C(F)(F)F
ep-905383 CC(OC(F)(C(F)F)C(F)(F)F)C(F)F
ep-905384 FCC(CF)OC(F)(C(F)F)C(F)(F)F
ep-905385 CC(OC(F)(CF)C(F)(F)F)C(F)(F)F
ep-905386 FCC(OC(F)(CF)C(F)(F)F)C(F)F
ep-905387 CC(F)(OC(CF)C(F)(F)F)C(F)(F)F
ep-905388 CC(F)(OC(C(F)F)C(F)F)C(F)(F)F
ep-905389 CC(OC(F)(C(F)F)C(F)F)C(F)(F)F
ep-905390 FCC(OC(F)(C(F)F)C(F)F)C(F)F
ep-905391 FCC(OC(F)(CF)C(F)F)C(F)(F)F
ep-905392 FCC(F)(OC(C(F)F)C(F)F)C(F)F
ep-905393 CC(F)(OC(C(F)F)C(F)(F)F)C(F)F
ep-905394 FCC(F)(CF)OC(C(F)F)C(F)(F)F
ep-905395 CC(F)(CF)OC(C(F)(F)F)C(F)(F)F
ep-905396 CC(OC(C(F)(F)F)C(F)(F)F)C(F)F
ep-905397 FCC(CF)OC(C(F)(F)F)C(F)(F)F
ep-905398 CC(OC(C(F)F)C(F)(F)F)C(F)(F)F
ep-905399 FCC(OC(C(F)F)C(F)(F)F)C(F)F
ep-905400 FCC(OC(CF)C(F)(F)F)C(F)(F)F
ep-905401 FCC(OC(C(F)F)C(F)F)C(F)(F)F
ep-905402 FC(F)C(OC(C(F)F)C(F)F)C(F)F
ep-905419 C=C(CF)OC(F)(C(F)(F)F)C(F)(F)F
ep-905420 CC(=CF)OC(F)(C(F)(F)F)C(F)(F)F
ep-905421 C=C(OC(F)(C(F)F)C(F)(F)F)C(F)F
ep-905422 FC=C(CF)OC(F)(C(F)F)C(F)(F)F
ep-905423 CC(OC(F)(C(F)F)C(F)(F)F)=C(F)F
ep-905424 C=C(OC(F)(CF)C(F)(F)F)C(F)(F)F
ep-905425 FC=C(OC(F)(CF)C(F)(F)F)C(F)F
ep-905426 FCC(OC(F)(CF)C(F)(F)F)=C(F)F
ep-905427 CC(F)(OC(=CF)C(F)(F)F)C(F)(F)F
ep-905428 CC(F)(OC(=C(F)F)C(F)F)C(F)(F)F
ep-905429 C=C(OC(F)(C(F)F)C(F)F)C(F)(F)F
ep-905430 FC=C(OC(F)(C(F)F)C(F)F)C(F)F
ep-905431 FCC(OC(F)(C(F)F)C(F)F)=C(F)F
ep-905432 FC=C(OC(F)(CF)C(F)F)C(F)(F)F
ep-905433 FCC(F)(OC(=C(F)F)C(F)F)C(F)F
ep-905434 CC(F)(OC(=C(F)F)C(F)(F)F)C(F)F
ep-905435 FCC(F)(CF)OC(=C(F)F)C(F)(F)F
ep-905436 C=C(OC(C(F)(F)F)C(F)(F)F)C(F)F
ep-905437 FC=C(CF)OC(C(F)(F)F)C(F)(F)F
ep-905438 CC(OC(C(F)(F)F)C(F)(F)F)=C(F)F
ep-905439 C=C(OC(C(F)F)C(F)(F)F)C(F)(F)F
ep-905440 FC=C(OC(C(F)F)C(F)(F)F)C(F)F
ep-905441 FCC(OC(C(F)F)C(F)(F)F)=C(F)F
ep-905442 FC=C(OC(CF)C(F)(F)F)C(F)(F)F
ep-905443 FCC(OC(=C(F)F)C(F)F)C(F)(F)F
ep-905444 CC(OC(=C(F)F)C(F)(F)F)C(F)(F)F
ep-905445 FC=C(OC(C(F)F)C(F)F)C(F)(F)F
ep-905446 FC(F)=C(OC(C(F)F)C(F)F)C(F)F
ep-905447 FCC(OC(=C(F)F)C(F)(F)F)C(F)F
ep-905448 CC(F)(F)OC(F)(C(C)(F)F)C(F)(F)F
ep-905449 CC(F)(F)C(F)(OC(F)(F)CF)C(F)F
ep-905450 CC(F)(F)OC(F)(C(F)F)C(F)(F)CF
ep-905451 CC(F)(F)C(F)(CF)OC(F)(F)C(F)F
ep-905452 FCC(F)(F)OC(F)(CF)C(F)(F)CF
ep-905453 CC(F)(F)OC(F)(CF)C(F)(F)C(F)F
ep-905454 CC(F)(F)C(C)(F)OC(F)(F)C(F)(F)F
ep-905455 CC(F)(OC(F)(F)C(F)F)C(F)(F)CF
